# Melendez+ 2017 A&A 597, A34 Table B.1
# Differential abundances of HIP 68468 relative to the Sun and errors.
# Note:
# - Absolute Li abundance (first row)
# Li, 1.52, 0.01, 0.00, 0.00, 0.00, 0.01, 0.03, 0.03
Element,[X/H],deltaTeff,deltalogg,deltavt,delta[Fe/H],Param,Obs,Total
C,     0.043, –0.005, 0.005,  0.000,  0.000,  0.007, 0.012, 0.014
CH,    0.027, 0.006,  –0.001, 0.000,  0.007,  0.009, 0.026, 0.028
C2,    0.050, 0.007,  0.001,  0.000,  0.007,  0.010, 0.005, 0.011
O,     0.055, –0.008, 0.003,  –0.001, 0.002,  0.009, 0.005, 0.010
Na,    0.065, 0.003,  –0.001, 0.000,  0.000,  0.003, 0.002, 0.006
Mg,    0.105, 0.006,  –0.002, –0.003, 0.000,  0.007, 0.017, 0.018
Al,    0.115, 0.003,  –0.002, –0.001, 0.000,  0.004, 0.015, 0.015
Si,    0.093, 0.001,  0.001,  –0.001, 0.001,  0.002, 0.006, 0.006
S,     0.047, –0.004, 0.005,  0.000,  0.001,  0.006, 0.017, 0.018
K,     0.094, 0.006,  –0.008, –0.002, 0.001,  0.010, 0.009, 0.014
Ca,    0.070, 0.005,  –0.003, –0.002, 0.000,  0.006, 0.003, 0.007
Sc I,  0.093, 0.006,  0.000,  0.000,  –0.001, 0.006, 0.009, 0.011
Sc II, 0.104, 0.000,  0.007,  –0.002, 0.003,  0.008, 0.006, 0.010
Ti I,  0.082, 0.007,  0.000,  –0.002, –0.001, 0.007, 0.006, 0.009
Ti II, 0.086, 0.000,  0.007,  –0.002, 0.003,  0.008, 0.011, 0.014
V,     0.089, 0.008,  0.000,  –0.001, –0.001, 0.008, 0.005, 0.010
Cr I,  0.057, 0.006,  –0.001, –0.002, 0.000,  0.006, 0.006, 0.009
Cr II, 0.048, –0.003, 0.007,  –0.002, 0.002,  0.008, 0.008, 0.011
Mn,    0.055, 0.006,  –0.002, –0.003, 0.000,  0.007, 0.008, 0.011
Fe I,  0.065, 0.006,  –0.001, –0.002, 0.000,  0.006, 0.002, 0.007
Fe II, 0.064, –0.002, 0.007,  –0.003, 0.003,  0.008, 0.004, 0.009
Co,    0.082, 0.006,  0.002,  0.000,  0.000,  0.006, 0.008, 0.010
Ni,    0.079, 0.005,  0.000,  –0.002, 0.000,  0.005, 0.003, 0.006
Cu,    0.105, 0.004,  0.001,  –0.001, 0.001,  0.004, 0.013, 0.014
Zn,    0.056, 0.000,  0.001,  –0.003, 0.002,  0.004, 0.018, 0.018
